Opening Hours,Popular Dishes,Detailed Address
"['Mon: 12:00 PM - 10:00 PM', 'Tue: 9:00 AM - 5:00 PM', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 11:00 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 10:00 PM']","['Braised Short Rib', 'Short Ribs Empanada', 'Beet and Kale Salad', 'Chicken Dumplings', 'Branzino', 'Chicken Milanese Tacos', 'Cavatelli', 'Grilled Octopus', 'Ny Strip Steak', 'Wasabi Tuna', 'Mojito Chicken', 'Shishito', 'Zeppoles', 'Drunken Pasta', 'Fried Calamari', 'Meatball', 'Shrimp Tacos', 'Filet Mignon', 'Caesar Salad', 'Grilled Chicken']","65 1st StPelham, NY 10803"
[],[],"4340 12th StQueens, NY 11101"
"['Mon: 7:00 AM - 4:00 PM', 'Tue: 7:00 AM - 4:00 PM', 'Wed: 7:00 AM - 4:00 PM', 'Thu: 7:00 AM - 4:00 PM 6:00 PM - 11:00 PM', 'Fri: 7:00 AM - 4:00 PM', 'Sat: Closed', 'Sun: Closed']",[],"868 Hunts Point AveBronx, NY 10474"
"['Mon: 11:00 AM - 11:30 PM', 'Tue: 11:00 AM - 11:30 PM', 'Wed: 11:00 AM - 11:30 PM', 'Thu: 11:00 AM - 11:30 PM', 'Fri: 11:00 AM - 1:30 AM (Next day)', 'Sat: 11:00 AM - 1:30 AM (Next day)', 'Sun: 11:00 AM - 11:30 PM']","['Chicken and Waffles Sandwich', 'Fried Mac', 'Chicken Wings', 'Pulled Pork Sandwich', 'Jerk Chicken', 'Veggie Burger', 'Southwest Bronx Bombers']","216 W 238th StBronx, NY 10463"
"['Mon: Closed', 'Tue: Closed', 'Wed: Closed', 'Thu: Closed', 'Fri: Closed', 'Sat: 12:00 PM - 6:00 PM', 'Sun: 12:30 PM - 6:00 PM']","['Lechon', 'Arroz Con', 'Octopus Salad', 'Empanadas', 'Enselada De Pulpo', 'Pulpo Salad', 'Roast Pig']","766 E 152nd StBronx, NY 10455"
"['Mon: 5:00 PM - 11:45 PM', 'Tue: 5:00 PM - 11:45 PM', 'Wed: 5:00 PM - 11:45 PM', 'Thu: 5:00 PM - 11:45 PM', 'Fri: 5:00 PM - 2:00 AM (Next day)', 'Sat: 5:00 PM - 2:00 AM (Next day)', 'Sun: 5:00 PM - 11:45 PM']","['Tamal De Pina', 'Enmolado De Pato', 'Lamb Tacos', 'Octopus', 'Fish Tacos', 'Cornish Hen', 'Goddess Centeotl', 'Papas Rotizadas', 'Mariposa', 'Ceviche De Camarones']","3732 Riverdale AveBronx, NY 10463"
"['Mon: 3:00 PM - 12:00 AM (Next day)', 'Tue: 11:30 AM - 12:00 AM (Next day)', 'Wed: 11:30 AM - 12:00 AM (Next day)', 'Thu: 11:30 AM - 1:00 AM (Next day)', 'Fri: 11:30 AM - 2:00 AM (Next day)', 'Sat: 11:30 AM - 2:00 AM (Next day)', 'Sun: 12:00 PM - 1:00 AM (Next day)']","['Catfish Fingers', 'Crack Wings', 'Tres Leches', 'Crispy Calamari', 'Grilled Skirt Steak', 'Shrimp Mofongo', 'Pan-seared Salmon']","1315 Commerce AveBronx, NY 10461"
"['Mon: 12:00 PM - 9:30 PM', 'Tue: 12:00 PM - 9:30 PM', 'Wed: 12:00 PM - 9:30 PM', 'Thu: 12:00 PM - 9:30 PM', 'Fri: 12:00 PM - 9:30 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 1:00 PM - 8:30 PM']","['Baked Clams', 'Stuffed Artichoke', 'Pork Chops Pizzaiola', 'Chicken Scarpariello', 'Fried Calamari', 'Linguini W/ Shrimp And Calamari', 'Chicken Marsala', 'Chicken Parmigiana', 'Lasagna', 'Chicken Rollatini', 'Baked Ziti', 'Ravioli', 'Veal Marsala']","2335 Arthur AveBronx, NY 10458"
"['Mon: 9:00 AM - 10:00 PM', 'Tue: 9:00 AM - 10:00 PM', 'Wed: 9:00 AM - 10:00 PM', 'Thu: 9:00 AM - 10:00 PM', 'Fri: 9:00 AM - 11:00 PM', 'Sat: 9:00 AM - 11:00 PM', 'Sun: 9:00 AM - 10:00 PM']","['Grilled Chicken', 'Qofte', 'Suxhuk', 'Baklava']","1809 Hone AveBronx, NY 10461"
"['Mon: Closed', 'Tue: 5:00 PM - 9:30 PM', 'Wed: 1:00 PM - 9:30 PM', 'Thu: 1:00 PM - 9:30 PM', 'Fri: 1:00 PM - 9:30 PM', 'Sat: 1:00 PM - 9:30 PM', 'Sun: 1:00 PM - 9:30 PM']",[],"560 North AveNew Rochelle, NY 10801"
"['Mon: 11:30 AM - 8:00 PM', 'Tue: 11:30 AM - 8:00 PM', 'Wed: 11:30 AM - 8:00 PM', 'Thu: 11:30 AM - 8:00 PM', 'Fri: 11:30 AM - 8:00 PM', 'Sat: 11:30 AM - 8:00 PM', 'Sun: 11:30 AM - 8:00 PM']",[],"1556 White Plains RdBronx, NY 10462"
"['Mon: Closed', 'Tue: Closed', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 3:00 PM - 10:00 PM', 'Sat: 9:00 AM - 3:00 PM 5:00 PM - 10:00 PM', 'Sun: 9:00 AM - 5:00 PM']","['Saffron Shrimp', 'Huevos Rancheros', 'Crab Mac', 'Poached Eggs', 'Shrimp Avocado Omelette', 'Buttermilk Fried Chicken', 'Shishito', 'Detroit Style Pizza', 'Pulled Pork Sandwich', 'Baby Kale Salads', 'Chicken Sandwich', 'Stuffed French Toast', 'Fish Sandwich']","536 City Island AveBronx, NY 10464"
[],[],"126 W 238th StBronx, NY 10463"
"['Mon: 10:30 AM - 11:00 PM', 'Tue: 10:30 AM - 11:00 PM', 'Wed: 10:30 AM - 11:00 PM', 'Thu: 10:30 AM - 11:00 PM', 'Fri: 10:30 AM - 11:00 PM', 'Sat: 10:30 AM - 11:00 PM', 'Sun: 10:30 AM - 11:00 PM']","['Rasta Pasta', 'Jerk Chicken', 'Brown Stew Red Snapper', 'Brown Stew Chicken', 'Curry Chicken', 'Fried Chicken', 'Curry Goat', 'Curry Shrimp', 'White', 'Callaloo Spring Rolls', 'Chicken Soup', 'Fish Fingers', 'Chop Suey', 'Jerk Snapper', 'Sweet and Sour Chicken', 'Shrimp Pasta', 'Jerk Shrimp', 'Shrimp Tempura', 'Curried Goat']","4063 Boston RdBronx, NY 10466"
"['Mon: 12:00 PM - 10:30 PM', 'Tue: 12:00 PM - 10:30 PM', 'Wed: 12:00 PM - 10:30 PM', 'Thu: 12:00 PM - 10:30 PM', 'Fri: 12:00 PM - 10:30 PM', 'Sat: 12:00 PM - 10:30 PM', 'Sun: 12:00 PM - 10:30 PM']","['Chicken Taco', 'Steak Taco', 'Al Pastor Taco', 'Spicy Pork Taco', 'Beef Tongue Taco', 'Shredded Beef Taco', 'Beef Head Taco']","2140 White Plains RdBronx, NY 10462"
