Name,Address,Cuisine Tags,Rating,Features,Opening Hours,Price Range,Detail URL,Reservation Link,Source URL
Ootoya Times Square,Theater District,"Sushi Bars, Hot Pot, Japanese Curry",4.0,"allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/ootoya-times-square-new-york-2?osq=Restaurants,https://www.yelp.com/biz/wjIyCBEpCG_HRp8veiI0YQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Uluh,East Village,"Tea Rooms, Asian Fusion, Szechuan",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",East Village,$31-60,https://www.yelp.com/biz/uluh-new-york?osq=Restaurants,https://www.yelp.com/biz/4FD0TAxe70nb3ngk3sXF9Q?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Moono,Murray Hill,Korean,4.3,"not allow Outdoor seating, not allow Delivery, not allow Takeout",,,https://www.yelp.com/biz/moono-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Lillie’s Victorian Establishment,Theater District,"Bars, Gastropubs, Burgers",3.9,"allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/lillies-victorian-establishment-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
5ive Spice,Kips Bay,"Vietnamese, Salad, Tacos",4.5,"allow Delivery, allow Takeout",Kips Bay,$11-30,https://www.yelp.com/biz/5ive-spice-new-york-4?osq=Restaurants,https://www.yelp.com/biz/ntiDPLkWm6GDLkYh0d2tBw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Bonsaii Tapas & Wine Bar,Midtown East,"Tapas Bars, Breakfast & Brunch, Wine Bars",4.4,"allow Outdoor seating, not allow Delivery, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/bonsaii-tapas-and-wine-bar-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Avra Rockefeller Center,Theater District,"Greek, Mediterranean, Desserts",3.9,"allow Outdoor seating, not allow Delivery, not allow Takeout",,,https://www.yelp.com/biz/avra-rockefeller-center-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Sala Thai Restaurant,Upper West Side,Thai,4.5,"allow Outdoor seating, allow Delivery, allow Takeout",Upper West Side,$11-30,https://www.yelp.com/biz/sala-thai-restaurant-new-york-2?osq=Restaurants,https://www.yelp.com/biz/VoAuIReq_cPUrFwxbWqG_Q?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Monsieur Vo,East Village,"Vietnamese, Asian Fusion",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/monsieur-vo-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
The Thonglor New York,Hell's Kitchen,Thai,4.6,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/the-thonglor-new-york-new-york?osq=Restaurants,https://www.yelp.com/biz/I8lfxFF6ZfwAYbWBIwRSsA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=130
Ippudo Westside,Theater District,Ramen,4.2,"not allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/ippudo-westside-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Pio Pio 8,Hell's Kitchen,"Latin American, Peruvian",4.0,"allow Delivery, allow Takeout",Hell's Kitchen,$31-60,https://www.yelp.com/biz/pio-pio-8-new-york-5?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Monsieur Vo,East Village,"Vietnamese, Asian Fusion",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/monsieur-vo-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
The Thonglor New York,Hell's Kitchen,Thai,4.6,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/the-thonglor-new-york-new-york?osq=Restaurants,https://www.yelp.com/biz/I8lfxFF6ZfwAYbWBIwRSsA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
While We Were Young,West Village,"American (New), Cocktail Bars",4.0,allow Outdoor seating,West Village,$11-30,https://www.yelp.com/biz/while-we-were-young-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Hatsuhana,Midtown East,"Japanese, Sushi Bars",4.2,"allow Delivery, allow Takeout",Midtown East,$31-60,https://www.yelp.com/biz/hatsuhana-new-york?osq=Restaurants,https://www.yelp.com/reservations/hatsuhana-new-york,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Steak Freak,Theater District,"Food Trucks, Steakhouses",4.7,"not allow Outdoor seating, allow Delivery, allow Takeout",Theater District,below $10,https://www.yelp.com/biz/steak-freak-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Izakaya Toribar,Midtown East,"Tapas/Small Plates, Izakaya, Bars",4.1,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/izakaya-toribar-new-york?osq=Restaurants,https://www.yelp.com/biz/wpT1QU7PSQgQQ1DkzI00JA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
Prime Meat Rokko,Hell's Kitchen,Japanese,4.7,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/prime-meat-rokko-new-york?osq=Restaurants,https://www.yelp.com/biz/dEbI8l8o9mevbRdjANzsng?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
The Grisly Pear,Theater District,"Sports Bars, Comedy Clubs, Burgers",4.5,"allow Delivery, allow Takeout",,,https://www.yelp.com/biz/the-grisly-pear-new-york-4?osq=Restaurants,https://www.yelp.com/biz/hqYxqGdWaAFef_gruLXdpQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=140
The Grisly Pear,Theater District,"Sports Bars, Comedy Clubs, Burgers",4.5,"allow Delivery, allow Takeout",,,https://www.yelp.com/biz/the-grisly-pear-new-york-4?osq=Restaurants,https://www.yelp.com/biz/hqYxqGdWaAFef_gruLXdpQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Sabai Thai,Flatiron,"Thai, Cocktail Bars, Seafood",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",Flatiron,$11-30,https://www.yelp.com/biz/sabai-thai-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Libertine,West Village,French,4.4,"not allow Delivery, not allow Takeout",,,https://www.yelp.com/biz/libertine-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Perrine,Upper East Side,"American (New), French",4.0,allow Takeout,Upper East Side,$31-60,https://www.yelp.com/biz/perrine-new-york-city?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Long Acre Tavern,Theater District,"Sports Bars, Pubs, Burgers",4.1,"allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/long-acre-tavern-new-york-3?osq=Restaurants,https://www.yelp.com/biz/EqraPrrv6gAedeVogvt8xw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
KazuNori | Midtown East,Midtown East,"Sushi Bars, Japanese",4.5,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/kazunori-midtown-east-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Liberty Bagels,Midtown East,"Bagels, Sandwiches, Breakfast & Brunch",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,below $10,https://www.yelp.com/biz/liberty-bagels-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Sam Muk,Woodside,"Thai, Seafood",4.7,"not allow Outdoor seating, allow Delivery",,,https://www.yelp.com/biz/sam-muk-woodside?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Chama Mama,Chelsea,"Georgian, Wine Bars, Cocktail Bars",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",Chelsea,$11-30,https://www.yelp.com/biz/chama-mama-new-york?osq=Restaurants,https://www.yelp.com/biz/cTE0e96GYzet799EJeStoQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Bice Cucina - Midtown,Midtown West,"Seafood, Bars, Italian",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/bice-cucina-midtown-new-york?osq=Restaurants,https://www.yelp.com/biz/qhyll2gPT-gGDRP6JGn1aQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=150
Bice Cucina - Midtown,Midtown West,"Seafood, Bars, Italian",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/bice-cucina-midtown-new-york?osq=Restaurants,https://www.yelp.com/biz/qhyll2gPT-gGDRP6JGn1aQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Oldays,Flatiron,"Breakfast & Brunch, Comfort Food, Coffee & Tea",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",Flatiron,$11-30,https://www.yelp.com/biz/oldays-new-york?osq=Restaurants,https://www.yelp.com/biz/PGIDfBgA-cXo5M_TgkUT2Q?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Taru,Midtown West,"Japanese, Sushi Bars, Soup",4.5,"not allow Outdoor seating, not allow Delivery, allow Takeout",Midtown West,over $61,https://www.yelp.com/biz/taru-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Junior’s Restaurant & Bakery,Theater District,"American (Traditional), Desserts, Breakfast & Brunch",3.8,"allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/juniors-restaurant-and-bakery-new-york-3?osq=Restaurants,https://www.yelp.com/waitlist/juniors-restaurant-and-bakery-new-york-3?utm_medium=waitlist_search_action&utm_source=search,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Woorijip,Koreatown,Korean,4.0,"not allow Outdoor seating, allow Takeout",Koreatown,$11-30,https://www.yelp.com/biz/woorijip-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Leitao,West Village,"Portuguese, Cocktail Bars, Beer, Wine & Spirits",4.7,"allow Outdoor seating, not allow Delivery, not allow Takeout",West Village,$31-60,https://www.yelp.com/biz/leitao-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Sweet Chick,Lower East Side,"Southern, Breakfast & Brunch, Chicken Shop",4.1,"allow Outdoor seating, allow Delivery, allow Takeout",Lower East Side,$11-30,https://www.yelp.com/biz/sweet-chick-new-york?osq=Restaurants,https://www.yelp.com/biz/8F81LrdFm6P5kkFpsw0n0w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Olle,Midtown East,Korean,4.4,,Midtown East,$31-60,https://www.yelp.com/biz/olle-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Silky Kitchen,Theater District,"Chinese, Salad, Noodles",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/silky-kitchen-new-york-5?osq=Restaurants,https://www.yelp.com/biz/8plXW6ZQI1awPu1scms3jQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Sukhumvit 51,Midtown East,Thai,4.0,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/sukhumvit-51-new-york?osq=Restaurants,https://www.yelp.com/biz/KHdYPT0jUnUGdHGaY73mxg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=160
Bice Cucina - Midtown,Midtown West,"Seafood, Bars, Italian",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/bice-cucina-midtown-new-york?osq=Restaurants,https://www.yelp.com/biz/qhyll2gPT-gGDRP6JGn1aQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Oldays,Flatiron,"Breakfast & Brunch, Comfort Food, Coffee & Tea",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",Flatiron,$11-30,https://www.yelp.com/biz/oldays-new-york?osq=Restaurants,https://www.yelp.com/biz/PGIDfBgA-cXo5M_TgkUT2Q?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Taru,Midtown West,"Japanese, Sushi Bars, Soup",4.5,"not allow Outdoor seating, not allow Delivery, allow Takeout",Midtown West,over $61,https://www.yelp.com/biz/taru-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Woorijip,Koreatown,Korean,4.0,"not allow Outdoor seating, allow Takeout",Koreatown,$11-30,https://www.yelp.com/biz/woorijip-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Leitao,West Village,"Portuguese, Cocktail Bars, Beer, Wine & Spirits",4.7,"allow Outdoor seating, not allow Delivery, not allow Takeout",West Village,$31-60,https://www.yelp.com/biz/leitao-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Sweet Chick,Lower East Side,"Southern, Breakfast & Brunch, Chicken Shop",4.1,"allow Outdoor seating, allow Delivery, allow Takeout",Lower East Side,$11-30,https://www.yelp.com/biz/sweet-chick-new-york?osq=Restaurants,https://www.yelp.com/biz/8F81LrdFm6P5kkFpsw0n0w?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Olle,Midtown East,Korean,4.4,,Midtown East,$31-60,https://www.yelp.com/biz/olle-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Silky Kitchen,Theater District,"Chinese, Salad, Noodles",4.4,"allow Outdoor seating, allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/silky-kitchen-new-york-5?osq=Restaurants,https://www.yelp.com/biz/8plXW6ZQI1awPu1scms3jQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Sukhumvit 51,Midtown East,Thai,4.0,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/sukhumvit-51-new-york?osq=Restaurants,https://www.yelp.com/biz/KHdYPT0jUnUGdHGaY73mxg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Emily - West Village,West Village,"Pizza, Burgers",4.1,"allow Outdoor seating, allow Delivery, allow Takeout",West Village,$11-30,https://www.yelp.com/biz/emily-west-village-new-york?osq=Restaurants,https://www.yelp.com/biz/m86CNmYThtzzWB3nPnrhbg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=170
Hakata Tonton,Midtown West,Japanese,4.2,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/hakata-tonton-new-york-7?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Soba-ya,East Village,"Japanese, Noodles",3.8,"allow Outdoor seating, allow Delivery, allow Takeout",East Village,$11-30,https://www.yelp.com/biz/soba-ya-new-york?osq=Restaurants,https://www.yelp.com/biz/i8ejDDR4COtukAAA1Ls5fw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Massawa,Morningside Heights,"Ethiopian, Eritrean, Vegan",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",Morningside Heights,$11-30,https://www.yelp.com/biz/massawa-new-york?osq=Restaurants,https://www.yelp.com/biz/C2E1E0o-ssSrf_dokwxTXg?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Carlotto,Gramercy,Italian,4.3,not allow Outdoor seating,,,https://www.yelp.com/biz/carlotto-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Melt Shop,Theater District,"Sandwiches, Salad, Comfort Food",3.9,"allow Delivery, allow Takeout",Theater District,$11-30,https://www.yelp.com/biz/melt-shop-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Jack’s Wife Freda,West Village,"Mediterranean, Cocktail Bars, Breakfast & Brunch",3.9,"allow Outdoor seating, allow Delivery, allow Takeout",West Village,$11-30,https://www.yelp.com/biz/jacks-wife-freda-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Beyond Sushi,Midtown West,"Vegan, Vegetarian, Gluten-Free",4.5,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown West,$11-30,https://www.yelp.com/biz/beyond-sushi-new-york-4?osq=Restaurants,https://www.yelp.com/biz/TcuWyuZAORVnQBPCMNbTgw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Burger & Lobster - Flatiron NYC,Flatiron,"Seafood, Burgers, American (New)",4.2,"allow Outdoor seating, allow Delivery, allow Takeout",Flatiron,$31-60,https://www.yelp.com/biz/burger-and-lobster-flatiron-nyc-new-york?osq=Restaurants,https://www.yelp.com/biz/UA2M9QFZghe-9th2KwLoWQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Coletta,Kips Bay,"Vegan, Vegetarian, Italian",4.6,"not allow Outdoor seating, allow Delivery, allow Takeout",Kips Bay,$31-60,https://www.yelp.com/biz/coletta-new-york-2?osq=Restaurants,https://www.yelp.com/biz/JwCnSW-RQ7_DxvbzWNO1hA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Lin & Daughters,West Village,"Chinese, Noodles, Bubble Tea",4.8,"not allow Outdoor seating, allow Delivery, allow Takeout",West Village,$11-30,https://www.yelp.com/biz/lin-and-daughters-new-york?osq=Restaurants,https://www.yelp.com/biz/SYFLyQAFRFoDURRWafeLKA?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=180
Olly Olly Market,Chelsea,Food Court,4.4,"allow Delivery, allow Takeout",,,https://www.yelp.com/biz/olly-olly-market-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Clover Hill,Brooklyn Heights,American (New),4.5,"not allow Outdoor seating, not allow Delivery, not allow Takeout",,,https://www.yelp.com/biz/clover-hill-brooklyn?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Little Collins,Midtown East,"Coffee & Tea, Breakfast & Brunch, Sandwiches",4.3,"allow Delivery, allow Takeout",,,https://www.yelp.com/biz/little-collins-new-york-4?osq=Restaurants,https://www.yelp.com/biz/ocnBwDrl3Q0iWdMFrS0T3g?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Jiang Nan,Lower East Side,"Shanghainese, Szechuan, Asian Fusion",4.2,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/jiang-nan-new-york?osq=Restaurants,https://www.yelp.com/biz/LTVNsNBh_0FI8MYrPfjRDQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
The Maze,Koreatown,"Korean, Cocktail Bars, Mexican",3.9,"not allow Outdoor seating, not allow Delivery, allow Takeout",Koreatown,$11-30,https://www.yelp.com/biz/the-maze-new-york-3?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Roscioli,South Village,Italian,4.7,,,,https://www.yelp.com/biz/roscioli-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
SUGARFISH | Midtown East,Midtown East,"Sushi Bars, Japanese",4.3,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/sugarfish-midtown-east-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Tomi Jazz,Midtown East,"Japanese, Jazz & Blues",4.4,"not allow Outdoor seating, allow Delivery, allow Takeout",Midtown East,$11-30,https://www.yelp.com/biz/tomi-jazz-new-york?osq=Restaurants,https://www.yelp.com/biz/l_RAv09V67j-Hm9dyZxWhw?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Electric Lemon,Chelsea,"American (New), Desserts, Breakfast & Brunch",3.6,"allow Outdoor seating, not allow Delivery, not allow Takeout",Chelsea,$31-60,https://www.yelp.com/biz/electric-lemon-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Resolution 39,Midtown West,"American (New), Lounges",5.0,"allow Outdoor seating, allow Takeout",,,https://www.yelp.com/biz/resolution-39-new-york-2?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=190
Le Sia,Midtown West,"Asian Fusion, Chinese, Cajun/Creole",4.3,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown West,$31-60,https://www.yelp.com/biz/le-sia-new-york-4?osq=Restaurants,https://www.yelp.com/biz/C3tP0fNNAoxOAC3O406CXQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200
Mercato,Midtown West,"Italian, Cocktail Bars, Desserts",3.8,"allow Outdoor seating, allow Delivery, allow Takeout",Midtown West,$31-60,https://www.yelp.com/biz/mercato-new-york?osq=Restaurants,https://www.yelp.com/biz/Ve6GVzzJpR5QIIPdcn6ViQ?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200
The Flatiron Room - Murray Hill,Midtown East,"American (New), Jazz & Blues, Lounges",4.3,"allow Outdoor seating, not allow Delivery, not allow Takeout",Midtown East,$31-60,https://www.yelp.com/biz/the-flatiron-room-murray-hill-new-york?osq=Restaurants,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200
Nom Nam,Murray Hill,"Vietnamese, Steakhouses",4.7,"not allow Outdoor seating, allow Delivery, allow Takeout",,,https://www.yelp.com/biz/nom-nam-new-york?osq=Restaurants,https://www.yelp.com/biz/xCE6-u-FWcyovRYd2uLG7A?show_platform_modal=True,https://www.yelp.com/search?find_desc=Restaurants&find_loc=Manhattan%2C+NY&start=200
