Opening Hours,Popular Dishes,Detailed Address
"['Mon: 10:00 AM - 10:30 PM', 'Tue: 10:00 AM - 10:30 PM', 'Wed: 10:00 AM - 10:30 PM', 'Thu: 10:00 AM - 10:30 PM', 'Fri: 10:00 AM - 10:30 PM', 'Sat: 10:00 AM - 10:30 PM', 'Sun: 10:00 AM - 10:30 PM']","['Spicy Miso Curry Ramen', 'Mushroom Ramen', 'Fried Chicken Sandwich', 'Brussels', 'Smoked Wings', 'Spicy Chili Ramen', 'Vegan Caesar Salad']","453 Rogers AveBrooklyn, NY 11225"
"['Mon: Closed', 'Tue: 5:30 PM - 10:00 PM', 'Wed: 5:30 PM - 11:00 PM', 'Thu: 5:30 PM - 11:00 PM', 'Fri: 5:30 PM - 12:00 AM (Next day)', 'Sat: 12:00 PM - 3:30 PM 6:00 PM - 12:00 AM (Next day)', 'Sun: 12:00 PM - 3:30 PM 6:00 PM - 11:00 PM']","['Braised Pork Shoulder Pasta', 'Lamb Shank', 'Whole Market Fish', 'Grilled Lamb Chops', 'Grilled Chicken Thigh', 'Duck Leg Confit', 'Homemade Bread & Spread', 'Roasted Beets', 'Spaetzle']","18 Harrison PlBrooklyn, NY 11206"
"['Mon: Closed', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 6:00 PM']",[],"794 Washington AveBrooklyn, NY 11238"
"['Mon: Closed', 'Tue: Closed', 'Wed: 4:00 PM - 12:00 AM (Next day)', 'Thu: 4:00 PM - 12:00 AM (Next day)', 'Fri: 4:00 PM - 2:00 AM (Next day)', 'Sat: 4:00 PM - 2:00 AM (Next day)', 'Sun: 4:00 PM - 12:00 AM (Next day)']",[],"1452 Fulton StBrooklyn, NY 11216"
"['Mon: 5:00 PM - 10:00 PM', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 10:00 PM', 'Fri: 5:00 PM - 11:00 PM', 'Sat: 5:00 PM - 11:00 PM', 'Sun: 5:00 PM - 9:45 PM']","['Pistachio Olive Oil Cake', 'Panna Cotta', 'Gnocchi Alla Romana', 'Margherita', 'Cannelloni']","1146 Nostrand AveBrooklyn, NY 11225"
"['Mon: 11:00 AM - 11:00 PM', 'Tue: 11:00 AM - 11:00 PM', 'Wed: 11:00 AM - 11:00 PM', 'Thu: 11:00 AM - 11:00 PM', 'Fri: 11:00 AM - 11:00 PM', 'Sat: 11:00 AM - 11:00 PM', 'Sun: 11:00 AM - 11:00 PM']","['Enchiladas', 'Flautas', 'Churros', 'Ceviche', 'Tostada', 'Carne Enchilada Torta', 'Plato Don Carne', 'Empanadas', 'Shrimp Taco', 'Chilaquiles', 'Queso Fundido', 'Tamale', 'Chile Relleno', 'Flan']","736 Franklin AveBrooklyn, NY 11238"
"['Mon: Closed', 'Tue: Closed', 'Wed: 9:00 AM - 4:00 PM 5:30 PM - 9:00 PM', 'Thu: 9:00 AM - 4:00 PM 5:30 PM - 9:00 PM', 'Fri: 9:00 AM - 4:00 PM 5:30 PM - 9:00 PM', 'Sat: 9:00 AM - 3:00 PM 5:30 PM - 9:00 PM', 'Sun: 9:00 AM - 3:00 PM 5:30 PM - 9:00 PM']","['Breakfast Sandwich', 'Confit Tuna Melt', 'Ferdinand Buns', 'Chicken Liver Toast', 'Speck', 'Deviled Eggs', 'Green Devils', 'Jammy Eggs', 'Poached Chicken', 'Pork Chops', 'Cranberry Upside Down Cake', 'Soft Shell Crab', 'Cracked Beets', 'Dirty Ovaltine', 'Gerbeaud Cake', 'Hungarian Crepes', 'Rolled Crepes', 'Fank', 'Caraway Caesar', 'Country Club Plate']","818 Franklin AveBrooklyn, NY 11225"
"['Mon: 5:00 PM - 10:00 PM', 'Tue: 5:00 PM - 10:00 PM', 'Wed: 5:00 PM - 10:00 PM', 'Thu: 5:00 PM - 11:00 PM', 'Fri: 5:00 PM - 11:00 PM', 'Sat: 12:00 PM - 11:00 PM', 'Sun: 12:00 PM - 10:00 PM']","['Kale Salad', 'Pork Chop', 'Mushroom Ravioli', 'Fried Oysters', 'French Toast', 'Eggs Benedict', 'Fish and Chips', 'Poached Eggs', 'Fried Chicken Sandwich', 'Buttermilk Fried Quail', 'Smoked Berkshire Pork Ribs', 'Chicken Liver', 'Steak Tartare', 'Corned Beef Tongue', 'Fried Clam Bellies', 'Cuban Sandwich', 'Steak and Eggs', 'Patty Melt', 'Grilled Octopus', 'Grit Cakes']","688 Franklin AveBrooklyn, NY 11238"
"['Mon: 11:00 AM - 12:00 AM (Next day)', 'Tue: 11:00 AM - 12:00 AM (Next day)', 'Wed: 11:00 AM - 12:00 AM (Next day)', 'Thu: 11:00 AM - 12:00 AM (Next day)', 'Fri: 11:00 AM - 12:00 AM (Next day)', 'Sat: 11:00 AM - 12:00 AM (Next day)', 'Sun: 11:00 AM - 12:00 AM (Next day)']","['Shawarma', 'Chicken Kabobs Meal', '(vg) Falafel Sandwich', 'Lamb Chops', '(v) Halloumi Sandwich', '(v) Falafel Meal', 'Baklava', 'Chicken Salad', 'Z-burger']","1294 Myrtle AveBrooklyn, NY 11221"
"['Mon: 12:00 PM - 10:00 PM', 'Tue: Closed', 'Wed: 12:00 PM - 10:00 PM', 'Thu: 12:00 PM - 10:00 PM', 'Fri: 12:00 PM - 10:00 PM', 'Sat: 12:00 PM - 10:00 PM', 'Sun: 12:00 PM - 4:00 PM']",[],"906 BroadwayBrooklyn, NY 11206"
